zHD MU_SH0ES
2.049000000000000127e-02 3.512630000000000052e+01
2.118000000000000091e-02 3.511800000000000210e+01
2.214999999999999955e-02 3.504809999999999803e+01
2.219000000000000139e-02 3.501359999999999673e+01
2.240999999999999936e-02 3.503920000000000101e+01
2.295000000000000165e-02 3.526850000000000307e+01
2.313000000000000125e-02 3.502250000000000085e+01
2.324999999999999983e-02 3.505369999999999919e+01
2.357000000000000067e-02 3.504059999999999775e+01
2.401000000000000009e-02 3.510179999999999723e+01
2.410999999999999949e-02 3.510490000000000066e+01
2.427999999999999950e-02 3.518030000000000257e+01
2.428999999999999909e-02 3.507710000000000150e+01
2.432000000000000134e-02 3.523169999999999646e+01
2.434000000000000052e-02 3.501019999999999754e+01
2.452999999999999972e-02 3.500800000000000267e+01
2.457000000000000156e-02 3.517840000000000344e+01
2.461999999999999952e-02 3.510609999999999786e+01
2.491000000000000159e-02 3.508619999999999806e+01
2.494000000000000036e-02 3.519729999999999848e+01
2.509000000000000119e-02 3.521520000000000294e+01
2.510000000000000078e-02 3.507900000000000063e+01
2.511999999999999997e-02 3.502759999999999962e+01
2.517000000000000140e-02 3.519890000000000185e+01
2.517000000000000140e-02 3.522769999999999868e+01
2.519000000000000059e-02 3.511390000000000100e+01
2.534000000000000141e-02 3.518820000000000192e+01
2.534000000000000141e-02 3.519740000000000180e+01
2.555999999999999939e-02 3.518280000000000030e+01
2.556999999999999898e-02 3.506210000000000093e+01
2.590999999999999900e-02 3.511809999999999832e+01
2.596000000000000044e-02 3.540140000000000242e+01
2.597999999999999962e-02 3.529310000000000258e+01
2.597999999999999962e-02 3.531110000000000326e+01
2.625999999999999862e-02 3.528549999999999898e+01
2.631999999999999965e-02 3.502230000000000132e+01
2.668999999999999845e-02 3.530799999999999983e+01
2.690999999999999989e-02 3.526879999999999882e+01
2.695000000000000173e-02 3.511840000000000117e+01
2.713000000000000134e-02 3.525130000000000052e+01
2.714000000000000093e-02 3.532240000000000180e+01
2.730000000000000135e-02 3.528920000000000101e+01
2.731000000000000094e-02 3.526729999999999876e+01
2.731000000000000094e-02 3.534369999999999834e+01
2.735999999999999890e-02 3.531300000000000239e+01
2.740000000000000074e-02 3.530420000000000158e+01
2.741000000000000034e-02 3.552360000000000184e+01
2.748000000000000095e-02 3.511299999999999955e+01
2.773000000000000118e-02 3.534669999999999845e+01
2.802999999999999936e-02 3.572579999999999956e+01
2.804999999999999855e-02 3.513060000000000116e+01
2.809999999999999998e-02 3.567390000000000327e+01
2.816000000000000100e-02 3.536129999999999995e+01
2.818999999999999978e-02 3.531739999999999924e+01
2.819999999999999937e-02 3.528739999999999810e+01
2.823000000000000162e-02 3.550610000000000355e+01
2.833000000000000101e-02 3.526650000000000063e+01
2.844000000000000000e-02 3.537199999999999989e+01
2.849000000000000143e-02 3.510490000000000066e+01
2.849000000000000143e-02 3.543679999999999808e+01
2.849000000000000143e-02 3.519630000000000081e+01
2.857000000000000164e-02 3.559960000000000235e+01
2.858000000000000124e-02 3.565959999999999752e+01
2.866000000000000145e-02 3.534490000000000265e+01
2.866000000000000145e-02 3.541049999999999898e+01
2.887999999999999942e-02 3.527629999999999910e+01
2.897999999999999882e-02 3.547789999999999822e+01
2.902000000000000066e-02 3.505579999999999785e+01
2.912999999999999964e-02 3.551520000000000010e+01
2.914999999999999883e-02 3.569480000000000075e+01
2.917000000000000148e-02 3.523910000000000053e+01
2.919000000000000067e-02 3.560240000000000293e+01
2.937999999999999987e-02 3.562219999999999942e+01
2.937999999999999987e-02 3.547200000000000131e+01
2.944000000000000089e-02 3.527609999999999957e+01
2.946999999999999967e-02 3.509389999999999787e+01
2.948999999999999885e-02 3.560790000000000077e+01
2.949999999999999845e-02 3.536379999999999768e+01
2.953000000000000069e-02 3.546540000000000248e+01
2.955999999999999947e-02 3.550639999999999930e+01
2.969000000000000111e-02 3.527810000000000201e+01
2.978000000000000091e-02 3.550150000000000006e+01
2.978000000000000091e-02 3.551160000000000139e+01
2.989999999999999949e-02 3.543540000000000134e+01
2.996000000000000052e-02 3.586099999999999710e+01
3.012000000000000094e-02 3.551950000000000074e+01
3.022999999999999993e-02 3.551850000000000307e+01
3.031000000000000014e-02 3.555420000000000158e+01
3.036000000000000157e-02 3.548029999999999973e+01
3.047000000000000056e-02 3.553450000000000131e+01
3.058999999999999914e-02 3.535860000000000269e+01
3.074999999999999956e-02 3.535220000000000340e+01
3.075999999999999915e-02 3.560840000000000316e+01
3.082999999999999977e-02 3.546479999999999677e+01
